name,image,x,y
Dark Shadows - Mescalito,dark_shadows_2018-min,36.123416,-115.4956
Armatron - Brownstone Wall,armatron-min,36.116024,-115.494271
Somewhere in the Gunks,gunks_allison,41.745526,-74.1785
Crimson Chrysalis - Red Rock,crimson_chrysalis,36.112192,-115.489776
Levitation 29 - Red Rock,levitation_29,36.105135,-115.493912
Devil's Lake,josh_devils_lake,43.414259,-89.716912
Summit of Stone Mountain,stone_mountain_1,36.393139,-81.044451
Higher Cathedral Spire,higher_cathedral_spire-min,37.713805,-119.632626
Grand Funk Railroad - Stone Mountain,stone_mountain_2,36.391893,-81.042598
Cordier Pillar - Grands Charmoz,cordier,45.905062,6.918085
Corrugation Corner - Lover's Leap,corrugation_corey-min,38.800136,-120.1342
Davis Holland to Lovin' Arms - Index,dhla-min,47.82393,-121.56606
North Ridge - Mt Stuart,stuart_summit-min,47.475042,-120.902384
Cascadian Couloir (descent) - Mt Stuart,stuart_north-min,47.472286,-120.899479
Tenaya Peak - Tuolumne,tenaya_daniel,37.829103,-119.442727
My favorite things - Cloud's rest,clouds_rest,37.768287,-119.489027
Craven Image x2,craven_allison,38.799146,-120.135116
Bear's Reach,bears_reach,38.802651,-120.131398
On the Lamb,on_the_lamb,37.869726,-119.424504
Cathedral again!,cathedral_dan,37.847852,-119.405913
Thimble Peak - Death Valley,dv_newyears,36.812148,-117.040358
New Years 2017,pnw_newyears,47.158393,-121.660045
Climbing in Italy,italy1,46.049916,10.947647
Climbing in Italy,italy2,46.009172,10.927392
Commuinty Pillar - Spring break 2019,community_pillar,36.120865,-115.4898
Diet Delight - Spring break 2019,diet_delight,36.017058,-115.463072
Tunnel Vision - Spring break 2019,tunnel_vision_19,36.168451,-115.490064
Gift of the Wind Gods - Spring break 2019,wilson,36.093482,-115.48493
High E - Bachelorx Party,gunks_highe_bachelorx,41.746041,-74.17772
Bachelorx Party,gunks_house_bachelorx,41.671353,-74.303168
Cathedral with Matt and Binji,cathedral_mattbinji,37.847869,-119.405495
Crosstown Trail,crosstown,37.756383,-122.47175
The Lions - Vancouver,the_lions,49.457765,-123.186395
Jolly Mountain,jolly,47.402756,-121.013561
Mt Si,mt_si_spring20,47.506961,-121.738757
West Ridge Prusik Peak,prusik,47.487479,-120.784608
Skyline Lake,newyears_2021,47.75717876,-121.0987793
Glines Canyon Dam,glines_canyon,48.00271981,-123.6002301
Mt St Helens,mt_st_helens,46.18995644,-122.1899214
Lane Peak,lane,46.7581806,-121.7516364
Coleman-Demming - Mt Baker,baker2021,48.77664217,-121.8146408
Steinmetz Lab - Lake Serene,lake_serene,47.78411381,-121.5721865
Mt Erie,mterie,48.45362885,-122.6250318
Epic Tail of Sir Norbert,epictail,48.19727342,-121.6499166
Lassen Peak,lassen,40.48818689,-121.5050267
Mt St Helens,mt_st_helens22,46.19139597,-122.1955618
There and Back Again,there_and_back_again,36.10382325,-115.4919288
Tunnel Vision,tunnel_vision_2022,36.16852447,-115.4903268
Stiffler's,stifflers,40.56771175,-111.7367145
New Year's 2022,newyears_summit,47.7367673,-120.9034096
Low to High - Whitney,l2h_whitney,36.57869182,-118.2920832
Guye Peak,guye,47.44143526,-121.4092895
Somewhere in the Alps,IMG_1335,46.04812734,6.997501384
Slabbing in the Alps,IMG_1334,45.98825564,6.913413817
Low to High - Telescope Peak,l2h_telescope,36.16974001,-117.0893512
Mt Hood Ski,mt_hood,45.37195255,-121.6975654
Sensuous Mortician,sensuous,36.14378497,-115.4905397
Waterboys,waterboys,36.14200039,-115.491335
M'laiksini Yaina (Mt Mcloughlin),mcloughlin,42.44466226,-122.3153028
Mt Shasta,shasta,41.4089596,-122.1948392
Mt Bachelor,bachelor,43.9796271,-121.6888784
Youxlokes (Mt Bailey),bailey,43.15509123,-122.2200363
Boulder Glacier - Koma Kulshan,baker22,48.77506628,-121.8120698
Hanakapi'ai Falls,kauai_falls,22.18577831,-159.5948756
Waimea Canyon,kauai_waimea,22.07191389,-159.6615789
Camp Muir Outing,rainier_muir_23,46.81380239,-121.7231412
Slot Couloir,slot_couloir,47.45890607,-121.4173651
Excalibur,excalibur,48.19653993,-121.6499974
